pubmed - microbiome
year,count
2019,232
2018,11012
2017,8878
2016,7479
2015,5984
2014,4582
2013,3218
2012,2250
2011,1495
2010,951
2009,694
2008,525
2007,396
2006,323
2005,247
2004,161
2003,135
2002,118
2001,74
2000,79
1999,57
1998,57
1997,51
1996,35
1995,30
1994,17
1993,18
1992,26
1991,24
1990,24
1989,25
1988,27
1987,14
1986,11
1985,20
1984,10
1983,10
1982,8
1981,9
1980,10
1979,13
1978,11
1977,7
1976,10
1975,3
1974,2
1972,1
1971,3
1970,2
1969,2
1968,2
1967,2
1966,3
1965,2
1964,2
1963,3
1961,2
1958,1
1956,1

